Address,Size,Function,,
0x0000000000022cb0,168,<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::h11689f2e53ca0424,,
0x0000000000009740,152,alloc::raw_vec::RawVec<T,A>::amortized_new_size::hf48a74cc4048d775,
0x0000000000010690,152,<core::alloc::Layout as core::fmt::Debug>::fmt::h9abd53559276c4df,,
0x000000000001a5f0,152,core::ops::function::FnOnce::call_once::h93cf1a9510e734a2,,
0x0000000000005970,136,<blog_os::memory::BootInfoFrameAllocator as x86_64::structures::paging::frame_alloc::FrameAllocator<x86_64::structures::paging::page::Size4KiB>>::allocate_frame::h8a7851677ce718f6,,
0x000000000000b1d0,136,spin::once::Once<T>::call_once::h822cd16f859954ae,,
0x000000000000d010,136,<u64 as bit_field::BitField>::get_bits::h54dcb63ca6e9b958,,
0x00000000000109d0,136,<core::num::TryFromIntError as core::fmt::Debug>::fmt::hc0dc7224abf98a48,,
0x0000000000021fe0,136,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::next_table_mut::h36b1b89fab3ea31e,,
0x0000000000022ea0,136,<<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::Hex as core::fmt::Debug>::fmt::h14e78fef807e0cec,,
0x0000000000004d60,120,core::iter::traits::iterator::Iterator::map::hd1c5dda3b9bad696,,
0x0000000000004db0,120,core::iter::adapters::flatten::FlatMap<I,U,F>::new::h081ebbda5f6897db
0x0000000000006240,120,rust_oom,,
0x000000000000bf40,120,blog_os::vga_buffer::Writer::clear_row::h4bc42b99f4ef97cf,,
0x0000000000010860,120,<core::alloc::LayoutErr as core::fmt::Debug>::fmt::hd5c2478a35a1ae38,,
0x0000000000011480,120,core::result::unwrap_failed::h4cfa9807cb83760a,,
0x00000000000171c0,120,core::result::Result<T,E>::map::h5a1d7aa65cdf09ea,
0x0000000000017b20,120,linked_list_allocator::hole::HoleList::allocate_first_fit::h970d66a4431a79a7,,
0x000000000001c620,120,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::map_scancode::h9b88f198796240ba,,
0x000000000001e9f0,120,core::iter::adapters::Map<I,F>::new::h4826d4da5444f08c,
0x000000000001f9c0,120,<core::iter::LoopState<C,B> as core::cmp::PartialEq>::eq::h48c21cb7850ea7de,
0x000000000001fea0,120,core::sync::atomic::AtomicUsize::compare_and_swap::h38be2cb5b43cd823,,
0x0000000000021ea0,120,<x86_64::structures::paging::mapper::MapToError as core::fmt::Debug>::fmt::h5a7aaed5f5d4f8b4,,
0x0000000000023e30,120,<x86_64::addr::VirtAddr as core::fmt::Debug>::fmt::ha9f4e09d01426876,,
0x0000000000008fa0,104,blog_os::vga_buffer::_print::{{closure}}::h74c08258458b7c00,,
0x000000000000a4d0,104,core::option::Option<T>::map::h757788c031e438f6,,
0x000000000000afe0,104,spin::once::Once<T>::call_once::h534194cfa1103964,,
0x000000000000f150,104,core::panicking::panic_bounds_check::h20726f157b6869dc,,
0x000000000000f230,104,core::panicking::panic::hc0202a47db803efb,,
0x0000000000011bf0,104,core::slice::slice_index_order_fail::h9747ccccaa5915e6,,
0x0000000000011c70,104,core::slice::slice_index_len_fail::hdc601f36b206e3c9,,
0x0000000000017a20,104,linked_list_allocator::hole::HoleList::new::h29965060f5730d00,,
0x000000000001e800,104,core::iter::traits::iterator::Iterator::nth::hc50633c682011e01,,
0x000000000001f460,104,pic8259_simple::ChainedPics::initialize::h55a645588fff9595,,
0x0000000000023870,104,x86_64::structures::gdt::GlobalDescriptorTable::new::h27ace8be81cc87a9,,
0x00000000000045d0,88,<x86_64::structures::paging::page::Page<S> as core::ops::arith::Add<u64>>::add::h71c51e28b69b6b62,,
0x0000000000005e20,88,core::alloc::GlobalAlloc::realloc::h96cf14ec8ec6016c,,
0x0000000000006490,88,<x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P> as x86_64::structures::paging::mapper::Mapper<x86_64::structures::paging::page::Size4KiB>>::map_to::h3cc2b1091d99bf01,,
0x0000000000007b10,88,alloc::slice::hack::into_vec::h44e5f12baebe242e,,
0x0000000000008e80,88,core::fmt::Write::write_fmt::h78f059f285565dbf,,
0x0000000000009bd0,88,pc_keyboard::Keyboard<T,S>::process_keyevent::h792a293de4135605,
0x000000000000a400,88,core::option::Option<T>::map::h739a481388742b2a,,
0x000000000000aad0,88,spin::mutex::Mutex<T>::new::h98c5dedd05a219a5,,
0x000000000000bae0,88,blog_os::vga_buffer::Writer::write_byte::hdeaf9af5241d3045,,
0x00000000000138a0,88,<core::fmt::Arguments as core::fmt::Display>::fmt::h2d51d80ef85afbf0,,
0x0000000000016920,88,core::fmt::Write::write_fmt::h2c27b4b97878e836,,
0x0000000000016ae0,88,<&mut W as core::fmt::Write>::write_fmt::h33736cdaa050c239,,
0x0000000000016b40,88,core::unicode::bool_trie::BoolTrie::lookup::hb3de6364663327b5,,
0x0000000000018fc0,88,linked_list_allocator::Heap::allocate_first_fit::h896bd9b5620f8f06,,
0x00000000000191a0,88,linked_list_allocator::Heap::deallocate::hade92f246914764e,,
0x000000000001a430,88,<x86_64::structures::paging::mapper::offset_page_table::OffsetPageTable as x86_64::structures::paging::mapper::Mapper<x86_64::structures::paging::page::Size4KiB>>::map_to::h4000dfdee9ace89a,,
0x0000000000020050,88,core::slice::<impl [T]>::iter::hab1f714b989aace4,,
0x0000000000004e10,80,core::iter::adapters::flatten::FlattenCompat<I,U>::new::he465ee45f91444da,
0x0000000000005ff0,80,<core::cmp::Ordering as core::cmp::PartialEq>::eq::hb04edf561c4d7431,,
0x0000000000004480,72,<x86_64::structures::paging::page::Page<S> as core::cmp::PartialOrd>::le::h11d94261f5b61ac0,,
0x00000000000058d0,72,blog_os::memory::active_level_4_table::h64cdb82044b08c72,,
0x0000000000008f50,72,<&mut W as core::fmt::Write>::write_fmt::h6b110a49398a47a4,,
0x0000000000009160,72,alloc::raw_vec::RawVec<T,A>::reserve::hc0952c4251e2a0b9,
0x00000000000098d0,72,alloc::raw_vec::RawVec<T,A>::dealloc_buffer::had5d2de2333d3197,
0x000000000000ab60,72,spin::mutex::Mutex<T>::new::hb434c3b7a5a73821,,
0x000000000000c0b0,72,blog_os::vga_buffer::Writer::write_string::h1d7ed517b10720d3,,
0x000000000000c200,72,core::str::<impl str>::bytes::h93f427c60bce200d,,
0x000000000000d7e0,72,core::slice::<impl [T]>::iter::h009f33cd4bb0abd8,,
0x000000000000fcd0,72,<core::ops::range::Range<Idx> as core::fmt::Debug>::fmt::h303f431bd100b1d1,,
0x0000000000014670,72,core::fmt::Formatter::write_fmt::h5cc2d60ec05ec212,,
0x0000000000014ef0,72,<char as core::fmt::Display>::fmt::h42f816294fa5de10,,
0x0000000000015790,72,<&T as core::fmt::Display>::fmt::he4201fff40a6b0b8,,
0x00000000000166c0,72,core::fmt::builders::DebugTuple::finish::h191173f2d165d670,,
0x0000000000016e80,72,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::nth::hb454b012595e03a9,,
0x0000000000017330,72,core::result::Result<T,E>::map_err::h4afd7e5aaa892ddc,
0x0000000000017750,72,core::num::<impl usize>::overflowing_mul::he48acb0f011944bb,,
0x000000000001a320,72,core::alloc::Layout::from_size_align::h0c57325b99131b7c,,
0x000000000001a4b0,72,core::alloc::Layout::array::h999e5ab1588bf7ac,,
0x000000000001a590,72,core::alloc::Layout::for_value::hb99d6aaa479699bf,,
0x000000000001a680,72,core::ops::function::FnOnce::call_once::hb6c42ff1a558601f,,
0x000000000001ced0,72,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::map_extended_scancode::ha2ee60cd6c90b356,,
0x000000000001f390,72,core::slice::<impl [T]>::iter::ha0fe1441655db001,,
0x0000000000020e30,72,core::slice::<impl [T]>::iter_mut::hdf1f49a0ee8ddcc8,,
0x0000000000020f20,72,x86_64::structures::paging::page_table::PageTableEntry::frame::hba341fee357fad91,,
0x0000000000023770,72,x86_64::registers::control::x86_64::<impl x86_64::registers::control::Cr3>::read::he1f8fb819b971b06,,
0x00000000000238e0,72,x86_64::structures::gdt::GlobalDescriptorTable::add_entry::h802e0a44d8ee7089,,
0x0000000000023980,72,x86_64::structures::gdt::GlobalDescriptorTable::push::h99e71eaea1e4e7fa,,
0x0000000000023a70,72,x86_64::structures::gdt::GlobalDescriptorTable::load::h8b6c466206cd17f6,,
0x0000000000023f10,72,x86_64::addr::VirtAddr::try_new::h2def37df145058aa,,
0x0000000000024660,72,<x86_64::addr::VirtAddrNotValid as core::fmt::Debug>::fmt::hab7d68a0df11e529,,
0x0000000000005f00,64,core::fmt::Arguments::new_v1_formatted::h02df7cef60ac9f29,,
0x0000000000006cf0,64,<bootloader::bootinfo::memory_map::MemoryRegionType as core::cmp::PartialEq>::eq::h1f9ea6be1ef06d7d,,
0x000000000000c2e0,64,core::option::Option<T>::ok_or::hb489868584aa20e6,,
0x000000000000e2e0,64,core::num::<impl usize>::overflowing_add::h574341c706789127,,
0x0000000000017110,64,core::num::<impl u64>::overflowing_add::hc99e726a6d5f2c5e,,
0x0000000000017690,64,core::num::<impl usize>::overflowing_add::hbd64e0bc896e641c,,
0x0000000000021350,64,core::num::<impl u64>::overflowing_sub::h577dcb0ad2c9c983,,
0x00000000000219d0,64,core::fmt::Arguments::new_v1_formatted::heaee608293812113,,
0x00000000000043e0,56,<x86_64::structures::paging::page::PageRangeInclusive<S> as core::iter::traits::iterator::Iterator>::next::hde9b02a0c081c891,,
0x0000000000004570,56,<x86_64::structures::paging::page::Page<S> as core::ops::arith::AddAssign<u64>>::add_assign::ha762df364c4ca680,,
0x0000000000004810,56,<*const T as core::fmt::Pointer>::fmt::h8e87ad67c899c3a7,,
0x00000000000049a0,56,<*const T as core::fmt::Pointer>::fmt::ha5dfa622b1ee9541,,
0x0000000000005150,56,alloc::vec::Vec<T>::push::ha23e8a47aea16806,,
0x00000000000053f0,56,<u64 as core::iter::range::Step>::add_usize::h0ac339eec8d8271c,,
0x0000000000006360,56,__rg_realloc,,
0x0000000000006b00,56,<x86_64::addr::VirtAddr as core::cmp::PartialOrd>::partial_cmp::hf19295eefbd54691,,
0x0000000000007a80,56,alloc::raw_vec::alloc_guard::hb254322dc53bbf45,,
0x0000000000007cc0,56,alloc::rc::Rc<T>::new::h0c4b23cc92e8090a,,
0x0000000000007db0,56,alloc::rc::RcBoxPtr::inc_strong::h4f5e20b35d346261,,
0x0000000000008120,56,<alloc::alloc::Global as core::alloc::Alloc>::realloc::hec93a3b3a12ac19c,,
0x0000000000008180,56,alloc::alloc::realloc::hcc458b189ebde948,,
0x00000000000081e0,56,alloc::alloc::exchange_malloc::hb29b2ff41120590c,,
0x0000000000008e10,56,core::fmt::Write::write_char::hf241d3c92651ec89,,
0x0000000000009090,56,alloc::raw_vec::RawVec<T,A>::new_in::hba013ec3005006f6,
0x0000000000009a40,56,core::ptr::swap_nonoverlapping::h137d61361e9407fa,,
0x0000000000009b00,56,core::ptr::read::hc1d637d07e0edd09,,
0x000000000000a5c0,56,core::option::Option<T>::map::hbb668e5bd5afc9f0,,
0x000000000000b940,56,core::ptr::swap_nonoverlapping::hc5c93cceef4accc8,,
0x000000000000c3a0,56,core::option::Option<T>::ok_or::he2572c515bda97bd,,
0x000000000000c4e0,56,core::option::Option<T>::ok_or::hf0bcb353bcfe6a15,,
0x000000000000c9c0,56,<u16 as bit_field::BitField>::set_bit::h23e2df12c6009bd1,,
0x000000000000cf60,56,<u64 as bit_field::BitField>::get_bit::h57f117808782013d,,
0x000000000000dbd0,56,core::ptr::swap_nonoverlapping::h7e8cf2e53a83f5ab,,
0x000000000000df20,56,core::ptr::read::h6a1b9bbd89963b9a,,
0x000000000000e080,56,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next::hf071a47d70c9af71,,
0x000000000000e1d0,56,<core::ops::range::Range<usize> as core::slice::SliceIndex<[T]>>::index::h2285fd0649fc6b80,,
0x000000000000e280,56,core::num::<impl usize>::checked_add::h5e1ab8f6ad4b7d16,,
0x000000000000f1d0,56,core::panicking::panic_fmt::h8ce300837685cd2a,,
0x0000000000012c30,56,core::fmt::Formatter::pad_integral::write_prefix::h1434d96b808a94a9,,
0x00000000000167d0,56,core::fmt::Write::write_char::hbc6bfbcdd4431b22,,
0x0000000000016990,56,<&mut W as core::fmt::Write>::write_char::h56f43410236354f1,,
0x0000000000016f70,56,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next::h3f2dbb570724849f,,
0x00000000000170b0,56,core::num::<impl u64>::checked_add::h9dd2f0201668bfc8,,
0x0000000000017630,56,core::num::<impl usize>::checked_add::h5208f791d62ee8d0,,
0x00000000000176f0,56,core::num::<impl usize>::checked_mul::hf537e10f0982ce4e,,
0x0000000000017d50,56,linked_list_allocator::hole::HoleList::allocate_first_fit::{{closure}}::h05953b65b54bc427,,
0x0000000000018300,56,linked_list_allocator::hole::HoleList::deallocate::h00236ecece277ae0,,
0x0000000000018360,56,linked_list_allocator::hole::allocate_first_fit::{{closure}}::hc1dc77c4cb0cf98a,,
0x00000000000189d0,56,core::ptr::swap_nonoverlapping::hafeee496da014116,,
0x0000000000018cd0,56,core::ptr::read::hccb8e454aa52f02e,,
0x0000000000019280,56,<linked_list_allocator::LockedHeap as core::alloc::GlobalAlloc>::alloc::ha5de75d14ef7ee84,,
0x0000000000019310,56,<linked_list_allocator::LockedHeap as core::alloc::GlobalAlloc>::dealloc::ha3680427a504348b,,
0x0000000000019380,56,core::sync::atomic::AtomicBool::compare_and_swap::hb28a9345fad25435,,
0x0000000000019b80,56,core::option::Option<T>::map::h9ad9d5b9932c9e01,,
0x0000000000019ce0,56,core::option::Option<T>::map_or::h4b7c4f0ecc6ee660,,
0x0000000000019e60,56,core::option::Option<T>::and_then::h1972d7bb185a96cf,,
0x000000000001a7f0,56,core::ops::function::FnOnce::call_once::heaced0b4dac6fe98,,
0x000000000001c4c0,56,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::advance_state::h9675a5f01a2a6b16,,
0x000000000001e970,56,core::iter::adapters::StepBy<I>::new::h09f59c19f487bc51,,
0x000000000001eb60,56,<core::iter::adapters::Map<I,F> as core::iter::traits::iterator::Iterator>::next::h3bb11507c8e9ab10,
0x000000000001fb50,56,core::iter::traits::iterator::Iterator::any::check::{{closure}}::h8edd1159f35e36e1,,
0x000000000001fc10,56,core::sync::atomic::AtomicBool::compare_and_swap::h91e49e1ff5e33a7c,,
0x0000000000020330,56,core::option::Option<T>::map::hbea5b4f4f0784489,,
0x0000000000020450,56,<core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::next::h7cd3dd04269acd77,,
0x0000000000021110,56,x86_64::structures::paging::page_table::PageTable::zero::hdd82c34c68232875,,
0x00000000000212f0,56,core::num::<impl u64>::checked_sub::hb23da46b248d67d0,,
0x0000000000021b30,56,<core::slice::IterMut<T> as core::iter::traits::iterator::Iterator>::next::hd0911a81ac14a22c,,
0x0000000000022c00,56,x86_64::structures::idt::EntryOptions::set_stack_index::he1932a1aca8b7487,,
0x0000000000023fe0,56,x86_64::addr::VirtAddr::new_unchecked::hc6826dcfc374a0f7,,
0x00000000000246e0,56,core::result::Result<T,E>::expect::h3ef6cc24c8dd4f80,
0x0000000000004690,48,x86_64::structures::paging::page::Page<S>::range_inclusive::hc7cce9e211b37f86,,
0x0000000000004900,48,core::fmt::ArgumentV1::new::hb800f797ec73e612,,
0x0000000000004950,48,core::fmt::ArgumentV1::new::hd38373de8abe145e,,
0x0000000000005bf0,48,core::fmt::ArgumentV1::new::h2da2fa52e6596978,,
0x0000000000005c40,48,core::fmt::ArgumentV1::new::h3860f441abf35ea7,,
0x0000000000005c90,48,core::fmt::ArgumentV1::new::h589f4b38b5dc229a,,
0x0000000000005ce0,48,core::fmt::ArgumentV1::new::h6ba3572b0ce61d26,,
0x0000000000005d30,48,core::fmt::ArgumentV1::new::h72fe9a19444eebdb,,
0x0000000000005d80,48,core::fmt::ArgumentV1::new::h7823151d40da528e,,
0x0000000000005dd0,48,core::fmt::ArgumentV1::new::h993faec92f48129d,,
0x0000000000005f80,48,core::fmt::Arguments::new_v1::ha01fe49bee20ecab,,
0x00000000000082f0,48,core::mem::forget::hc5bc5f91a669a4c5,,
0x0000000000009980,48,core::fmt::Arguments::new_v1::h8154a9cd4fdc1331,,
0x0000000000009b80,48,core::ptr::slice_from_raw_parts_mut::h506b8992ef84c988,,
0x000000000000b880,48,core::ptr::slice_from_raw_parts::h937f5f6791b2e33a,,
0x000000000000ba00,48,core::ptr::slice_from_raw_parts_mut::hb335f3816a4eaeee,,
0x000000000000de60,48,core::ptr::slice_from_raw_parts::h30f413f247bbf6d2,,
0x000000000000e340,48,core::fmt::ArgumentV1::new::h448477e7d0b3198d,,
0x000000000000ec80,48,core::fmt::ArgumentV1::new::ha08e95e3c343331d,,
0x0000000000020c50,48,core::fmt::ArgumentV1::new::h13677a926f3dfb41,,
0x0000000000020ca0,48,core::fmt::ArgumentV1::new::h19b966accba8881e,,
0x0000000000021890,48,core::fmt::ArgumentV1::new::h3873679b96dc88aa,,
0x00000000000218e0,48,core::fmt::ArgumentV1::new::h4359c99cb5d0fe95,,
0x0000000000021930,48,core::fmt::ArgumentV1::new::hd1e15876bbe62d4c,,
0x0000000000021980,48,core::fmt::ArgumentV1::new::hee8b616115129888,,
0x0000000000021a50,48,core::fmt::Arguments::new_v1::hbdb671c24f242bbe,,
0x0000000000004530,40,<x86_64::structures::paging::page::Page<S> as core::clone::Clone>::clone::hb5dade5c9f00b506,,
0x00000000000047d0,40,<&T as core::fmt::Pointer>::fmt::he461eceb94bb2b71,,
0x0000000000004ac0,40,core::alloc::Layout::from_size_align_unchecked::h45e951a7ea1b67d4,,
0x0000000000004f70,40,blog_os::memory::BootInfoFrameAllocator::usable_frames::{{closure}}::h91ad7b79ef0b86c7,,
0x0000000000004fc0,40,core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once::hae0a37ad32c1b8bf,,
0x0000000000005000,40,blog_os::memory::BootInfoFrameAllocator::usable_frames::{{closure}}::h6e423037e4743fb8,,
0x0000000000005040,40,core::ops::function::impls::<impl core::ops::function::FnOnce<A> for &mut F>::call_once::hbe5cde524c466283,,
0x0000000000005080,40,blog_os::memory::BootInfoFrameAllocator::usable_frames::{{closure}}::hc9968ee6c704bea1,,
0x00000000000050c0,40,alloc::vec::Vec<T>::from_raw_parts::hb262f791d48340f8,,
0x00000000000052c0,40,<alloc::vec::Vec<T> as core::ops::drop::Drop>::drop::ha7616dd6e4bb9eab,,
0x0000000000005780,40,core::cmp::Ord::max::hf03281f5205863ae,,
0x0000000000005800,40,core::cmp::Ordering::then_with::h9e721e5d6ea8e3d4,,
0x0000000000005ae0,40,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next::h43fc37af23112bc2,,
0x0000000000006110,40,<core::iter::LoopState<C,B> as core::ops::try::Try>::into_result::h4dd6482da280e68d,
0x0000000000006300,40,__rg_dealloc,,
0x0000000000006c40,40,alloc::boxed::Box<T>::into_unique::hcb57bc77495ae65e,,
0x0000000000007720,40,core::alloc::Layout::from_size_align_unchecked::h1c6702daba417038,,
0x0000000000007920,40,core::alloc::Layout::padding_needed_for::h0321d20f3a7b0109,,
0x00000000000079c0,40,core::iter::traits::iterator::Iterator::try_for_each::call::{{closure}}::h748581831979528c,,
0x00000000000079f0,40,core::iter::traits::iterator::Iterator::find::check::{{closure}}::h850a9831707c643c,,
0x0000000000007be0,40,core::num::ptr_try_from_impls::<impl core::convert::TryFrom<usize> for u32>::try_from::ha2af5618c520149a,,
0x0000000000007e40,40,<alloc::rc::Rc<T> as core::ops::drop::Drop>::drop::h63bd780952ad759d,,
0x0000000000007ee0,40,alloc::rc::RcBoxPtr::dec_strong::hd15c5ec62f7fae35,,
0x0000000000007f30,40,alloc::rc::RcBoxPtr::dec_weak::hff0fb0d6bb0d1a8a,,
0x0000000000007fd0,40,x86_64::instructions::interrupts::without_interrupts::h21d96e4664c44a63,,
0x0000000000008010,40,<alloc::alloc::Global as core::alloc::Alloc>::alloc::hb914d0b9138438b9,,
0x0000000000008090,40,<alloc::alloc::Global as core::alloc::Alloc>::dealloc::hce20c3e28115e778,,
0x00000000000080d0,40,alloc::alloc::dealloc::h08e320015ce1206d,,
0x0000000000008660,40,<i32 as core::iter::range::Step>::add_usize::h8b74c75a28ce8fc5,,
0x0000000000008760,40,core::ptr::unique::Unique<T>::new_unchecked::h4df6131ee81c3c03,,
0x0000000000008880,40,core::sync::atomic::atomic_load::h79798b7084f305b8,,
0x0000000000009040,40,alloc::raw_vec::RawVec<T>::from_raw_parts::hc0de8d5254beef9a,,
0x0000000000009850,40,alloc::raw_vec::RawVec<T,A>::current_layout::hd64b86f8bfc86fd3,
0x0000000000009a90,40,core::ptr::swap_nonoverlapping_one::hf4c2767e5ffc11df,,
0x0000000000009e20,40,pc_keyboard::Keyboard<T,S>::new::h4aa3ccddcf9b6e12,
0x000000000000a690,40,core::option::Option<T>::ok_or::h9a314b272e1ef6bc,,
0x000000000000abe0,40,spin::mutex::Mutex<T>::lock::h0f85193b24d35375,,
0x000000000000ac30,40,spin::mutex::Mutex<T>::lock::hb7b3491f6a28470f,,
0x000000000000ac80,40,spin::mutex::Mutex<T>::lock::hc44e5135f45a9ebe,,
0x000000000000b8d0,40,core::ptr::swap_nonoverlapping_one::h97e8153c228e110c,,
